Name,Diet,Length,Taxonomy,Species
Avimimus,Omnivorous,1.5M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Avimimidae,Portentosus
Bactrosaurus,Herbivorous,6.0M,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,Johnsoni
Bagaceratops,Herbivorous,1.0M,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Bagaceratopsidae,Rozhdestvenskyi
Bambiraptor,Carnivorous,1.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Feinbergorum
Barapasaurus,Herbivorous,14.0M,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Cetiosauridae,Tagorei
Barosaurus,Herbivorous,24.0M,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Diplodocidae,Lentus
Baryonyx,Carnivorous,10.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Spinosauridae Baryonychinae,Walkeri
Becklespinax,Carnivorous,5.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae,Altispinax
Beipiaosaurus,Omnivorous,2.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea,Inexpectus
Bellusaurus,Herbivorous,5.0M,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria,Sui
Borogovia,Carnivorous,1.5M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,Gracilicrus
Brachiosaurus,Herbivorous,30.0M,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Brachiosauridae,Altithorax
Brachylophosaurus,Herbivorous,7.0M,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Canadensis
Brachytrachelopan,Herbivorous,10.0M,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Dicraeosauridae,Mesai
Buitreraptor,Carnivorous,1.3M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae Unenlagiinae,Gonzalezorum
Camarasaurus,Herbivorous,23.0M,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Camarasauridae,Supremus
Camptosaurus,Herbivorous,5.0M,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia,Dispar
Carcharodontosaurus,Carnivorous,15.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae,Saharicus
Carnotaurus,Carnivorous,7.6M,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae,Sastrei
Caudipteryx,Omnivorous,1.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caudipterygidae,Zoui
Cedarpelta,Herbivorous,10.0M,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Bilbeyhallorum
Centrosaurus,Herbivorous,6.0M,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,Ceratopidae
Ceratosaurus,Carnivorous,6.0M,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria,Nasicornis
Cetiosauriscus,Herbivorous,15.0M,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea,Stewarti
Cetiosaurus,Herbivorous,18.0M,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Cetiosauridae,Oxoniensis
Chaoyangsaurus,Herbivorous,1.1M,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia,Youngi
Chasmosaurus,Herbivorous,5.0M,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,ceratopsid
Chindesaurus,Carnivorous,4.0M,Dinosauria Saurischia Theropoda Herrerasauridae,Bryansmalli
Chinshakiangosaurus,Herbivorous,11.0M,Dinosauria Saurischia Sauropodomorpha Sauropoda,Zhongheensis
Chirostenotes,Omnivorous,1.7M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Caenagnathidae,Pergracilis
Chubutisaurus,Herbivorous,23.0M,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,Insignis
Chungkingosaurus,Herbivorous,4.0M,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,Jiangbeiensis
Citipati,Omnivorous,2.1M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Oviraptorinae,Osmolskae
Coelophysis,Carnivorous,2.0M,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea Coelophysidae,Kayentakatae
Coelurus,Carnivorous,1.8M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,Fragilis
Coloradisaurus,Omnivorous,4.0M,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,Brevis
Compsognathus,Carnivorous,0.65M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Compsognathidae,Longipes
Conchoraptor,Carnivorous,1.5M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Ingeniinae,Gracilis
Confuciusornis,Carnivorous,0.25M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Avialae Ornithurae Avibrevicauda Pygostylia Confuciusornithidae,Sanctus
