Name,Diet,Length,Taxonomy,Species
Mapusaurus,Carnivorous,13.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Allosauridae Charcharodontosauridae Giganotosaurinae,Roseae
Marshosaurus,Carnivorous,6.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda,Bicentesimus
Masiakasaurus,Carnivorous,2.0M,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauroidea Abelisauria,Knopfleri
Massospondylus,Omnivorous,4.0M,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,Carinatus
Maxakalisaurus,Herbivorous,13.0M,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia Saltasauridae Saltasaurinae,Topai
Megalosaurus,Carnivorous,9.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Megalosaurinae,Bucklandii
Melanorosaurus,Omnivorous,12.0M,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria Melanorosauridae,Readi
Metriacanthosaurus,Carnivorous,8.2M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae,Parkeri
Microceratus,Herbivorous,0.5M,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria,Gobiensis
Micropachycephalosaurus,Herbivorous,0.6M,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria,Hongtuyanensis
Microraptor,Carnivorous,0.8M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Zhaoianus
Minmi,Herbivorous,3.0M,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria,Paravertebra
Monolophosaurus,Carnivorous,5.7M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria,Jiangi
Mononykus,Carnivorous,1.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Alvarezsauridae,Olecranus
Mussaurus,Herbivorous,3.0M,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,Patagonicus
Muttaburrasaurus,Herbivorous,7.0M,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,Langdoni
Nanshiungosaurus,Omnivorous,4.4M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,Brevispinus
Nedoceratops,Herbivorous,7.0M,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,Hatcheri
Nemegtosaurus,Herbivorous,13.0M,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Nemegtosauridae,Mongoliensis
Neovenator,Carnivorous,7.4M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae,Salerii
Neuquenosaurus,Herbivorous,10.0M,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia Saltasauridae,Australis
Nigersaurus,Herbivorous,15.0M,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Rebbachisauridae,Taqueti
Noasaurus,Carnivorous,1.0M,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauroidea Abelisauria,Leali
Nodosaurus,Herbivorous,5.0M,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,Textilis
Nomingia,Omnivorous,1.6M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Caenagnathidae,Gobiensis
Nothronychus,Omnivorous,5.3M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,Mckinleyi
Nqwebasaurus,Carnivorous,1.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,Thwazi
Omeisaurus,Herbivorous,20.0M,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,Junghsiensis
Opisthocoelicaudia,Herbivorous,12.0M,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia Saltasauridae,Skarzynskii
Ornitholestes,Carnivorous,2.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,Hermanni
Ornithomimus,Omnivorous,4.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,Velox
Orodromeus,Herbivorous,2.0M,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Makelai
Oryctodromeus,Herbivorous,2.1M,Dinosauria Ornithischia,Cubicularis
Othnielia,Herbivorous,1.4M,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Rex
Ouranosaurus,Herbivorous,7.0M,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,Nigeriensis
Oviraptor,Omnivorous,2.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Oviraptorinae,Philoceratops
Pachycephalosaurus,Herbivorous,8.0M,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,Wyomingensis
Pachyrhinosaurus,Herbivorous,6.0M,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,Canadensis
Panoplosaurus,Herbivorous,7.0M,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,Mirus
Pantydraco,Herbivorous,3.0M,Dinosauria Saurischia,Caducus
Paralititan,Herbivorous,28.0M,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,Stromeri
Parasaurolophus,Herbivorous,11.0M,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,Walkeri
Parksosaurus,Herbivorous,3.0M,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Warrenae
Patagosaurus,Herbivorous,18.0M,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Cetiosauridae,Fariasi
Pelicanimimus,Carnivorous,2.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria,Polyodon
Pelorosaurus,Herbivorous,25.0M,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes,Conybearei
Pentaceratops,Herbivorous,6.8M,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,Sternbergi
Piatnitzkysaurus,Carnivorous,4.2M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Eustreptospondylinae,Floresi
Pinacosaurus,Herbivorous,5.0M,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Grangeri
Plateosaurus,Herbivorous,7.0M,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,Engelhardti
Podokesaurus,Carnivorous,0.9M,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea,Holyokensis
Poekilopleuron,Carnivorous,9.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Megalosaurinae,Bucklandii
Polacanthus,Herbivorous,5.0M,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria,Foxii
Prenocephale,Herbivorous,2.4M,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,Prenes
Probactrosaurus,Herbivorous,6.0M,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,Gobiensis
Proceratosaurus,Carnivorous,4.1M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,Bradleyi
Procompsognathus,Carnivorous,1.0M,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea,Triassicus
Prosaurolophus,Herbivorous,7.6M,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Maximus
Protarchaeopteryx,Carnivorous,2.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora,Robusta
Protoceratops,Herbivorous,1.8M,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria,Andrewsi
Protohadros,Herbivorous,6.0M,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,Byrdi
Psittacosaurus,Herbivorous,2.0M,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Psittacosauridae,Mongoliensis
Quaesitosaurus,Herbivorous,23.0M,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Nemegtosauridae,Orientalis
Rebbachisaurus,Herbivorous,20.0M,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Rebbachisauridae,Garasbae
Rhabdodon,Herbivorous,4.0M,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Rhabdodontidae,Priscus
Rhoetosaurus,Herbivorous,15.0M,Dinosauria Saurischia Sauropodomorpha Sauropoda,Brownei
Rinchenia,Omnivorous,2.5M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Oviraptorinae,Mongoliensis
Riojasaurus,Herbivorous,5.15M,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria Melanorosauridae,Incertus
Rugops,Carnivorous,7.0M,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae,Primus
Saichania,Herbivorous,6.6M,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Chulsanensis
Saltasaurus,Herbivorous,12.0M,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia Saltasauridae,Loricatus
Sarcosaurus,Carnivorous,3.0M,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria,Woodi
Saurolophus,Herbivorous,9.0M,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Osborni
Sauropelta,Herbivorous,6.5M,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,Edwardsorum
Saurophaganax,Carnivorous,12.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Allosauridae,Maximus
Saurornithoides,Carnivorous,3.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,Mongoliensis
Scelidosaurus,Herbivorous,4.0M,Dinosauria Ornithischia Genasauria Thyreophora Scelidosauridae,Harrisonii
Scutellosaurus,Herbivorous,1.2M,Dinosauria Ornithischia Genasauria Thyreophora,Lawleri
Secernosaurus,Herbivorous,3.0M,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,Koerneri
Segisaurus,Carnivorous,1.5M,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea Coelophysidae,Halli
Segnosaurus,Carnivorous,4.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,Galbinensis
Shanag,Carnivorous,0.45M,Dinosauria Saurischia,Ashile
Shantungosaurus,Herbivorous,15.0M,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Giganteus
Shunosaurus,Herbivorous,10.0M,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,Lii
Shuvuuia,Omnivorous,0.6M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Alvarezsauridae,Deserti
Silvisaurus,Herbivorous,4.0M,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,Condrayi
Sinocalliopteryx,Carnivorous,2.37M,Dinosauria Saurischia,Gigas
Sinornithosaurus,Carnivorous,2.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Millenii
Sinosauropteryx,Carnivorous,1.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Compsognathidae,Prima
Sinovenator,Carnivorous,1.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,Changii
Sinraptor,Carnivorous,7.6M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Sinraptoridae,Hepingensis
Sonidosaurus,Herbivorous,9.0M,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,Saihangaobiensis
Spinosaurus,Carnivorous,18.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Spinosauridae Spinosaurinae,Aegyptiacus
Staurikosaurus,Carnivorous,2.0M,Dinosauria Saurischia Theropoda Herrerasauridae,Pricei
Stegoceras,Herbivorous,2.4M,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,Validum
Stegosaurus,Herbivorous,9.0M,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,Armatus
Stenopelix,Herbivorous,1.5M,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria,Valdensis
Struthiomimus,Omnivorous,4.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,Altus
Struthiosaurus,Herbivorous,2.5M,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,Austriacus
Styracosaurus,Herbivorous,5.5M,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,Albertensis
Suchomimus,Carnivorous,11.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Spinosauridae Baryonychinae,Tenerensis
Supersaurus,Herbivorous,35.0M,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Diplodocidae,Vivianae
Talarurus,Herbivorous,6.0M,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Plicatospineus
Tarbosaurus,Carnivorous,10.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Tyrannosaurinae,Bataar
Tarchia,Herbivorous,8.5M,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosaurinae,Gigantea
Telmatosaurus,Herbivorous,5.0M,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,Transsylvanicus
Tenontosaurus,Herbivorous,7.0M,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia,Tillettorum
Thecodontosaurus,Omnivorous,2.5M,Dinosauria Saurischia Sauropodomorpha Prosauropoda,Antiquus
Thescelosaurus,Herbivorous,3.5M,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Neglectus
Torosaurus,Herbivorous,7.5M,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,Latus
Torvosaurus,Carnivorous,10.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Megalosaurinae,Tanneri
Triceratops,Herbivorous,9.0M,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,Horridus
Troodon,Carnivorous,2.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,Formosus
Tsintaosaurus,Herbivorous,12.0M,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,Spinorhinus
Tuojiangosaurus,Herbivorous,7.0M,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,Multispinus
Tylocephale,Herbivorous,1.4M,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,Gilmorei
Tyrannosaurus,Carnivorous,12.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Tyrannosaurinae,Rex
Unenlagia,Carnivorous,2.4M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Comahuensis
Urbacodon,Carnivorous,1.0M,Dinosauria Saurischia,Itemirensis
Utahraptor,Carnivorous,6.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Ostrommaysorum
Valdosaurus,Herbivorous,3.0M,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Dryosauridae,Canaliculatus
Velociraptor,Carnivorous,1.8M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Mongoliensis
Vulcanodon,Herbivorous,6.5M,Dinosauria Saurischia Sauropodomorpha Sauropoda Vulcanodontidae,Karibaensis
Yandusaurus,Herbivorous,3.0M,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Hongheensis
Yangchuanosaurus,Carnivorous,10.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Sinraptoridae,Shangyouensis
Yimenosaurus,Herbivorous,9.0M,Dinosauria Saurischia Sauropodomorpha Prosauropoda,Youngi
Yinlong,Herbivorous,1.2M,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia,Downsi
Yuanmousaurus,Herbivorous,17.0M,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,Jiangyiensis
Yunnanosaurus,Omnivorous,7.0M,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria,Huangi
Zalmoxes,Herbivorous,3.0M,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Rhabdodontidae,Robustus
Zephyrosaurus,Herbivorous,1.8M,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Schaffi
